id,units,title,Date of Release,notes
GASALLECW,Dollars per Gallon,PADD I (East Coast District) All Grades All Formulations Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions.  All Formulations includes both conventional gasoline and reformulated gasoline. PADD I (Petroleum Administration for Defense District) represents the East Coast District and includes the following states: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, Delaware, District of Columbia, Maryland, New Jersey, New York, Pennsylvania, Florida, Georgia, North Carolina, South Carolina, Virginia, and West Virginia."
GASALLGCW,Dollars per Gallon,PADD III (Gulf Coast District) All Grades All Formulations Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions.  All Formulations includes both conventional gasoline and reformulated gasoline. PADD III (Petroleum Administration for Defense District) represents the Gulf Coast District and includes the following states: Alabama, Arkansas, Louisiana, Mississippi, New Mexico, and Texas."
GASALLMWW,Dollars per Gallon,PADD II (Midwest District) All Grades All Formulations Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions.  All Formulations includes both conventional gasoline and reformulated gasoline. PADD II (Petroleum Administration for Defense District) represents the Midwest District and includes the following states: Illinois, Indiana, Iowa, Kansas, Kentucky, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Oklahoma, South Dakota, Tennessee, and Wisconsin."
GASALLREFECW,Dollars per Gallon,PADD I (East Coast District) All Grades Reformulated Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD I (Petroleum Administration for Defense District) represents the East Coast District and includes the following states: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, Delaware, District of Columbia, Maryland, New Jersey, New York, Pennsylvania, Florida, Georgia, North Carolina, South Carolina, Virginia, and West Virginia."
GASALLREFGCW,Dollars per Gallon,PADD III (Gulf Coast District) All Grades Reformulated Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD III (Petroleum Administration for Defense District) represents the Gulf Coast District and includes the following states: Alabama, Arkansas, Louisiana, Mississippi, New Mexico, and Texas."
GASALLREFMWW,Dollars per Gallon,PADD II (Midwest District) All Grades Reformulated Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD II (Petroleum Administration for Defense District) represents the Midwest District and includes the following states: Illinois, Indiana, Iowa, Kansas, Kentucky, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Oklahoma, South Dakota, Tennessee, and Wisconsin."
GASALLREFW,Dollars per Gallon,US All Grades Reformulated Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline."
GASALLREFWCW,Dollars per Gallon,PADD V (West Coast District) All Grades Reformulated Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD V (Petroleum Administration for Defense District) represents the West Coast District and includes the following states: Alaska (North Slope and Other Mainland), Arizona, California, Hawaii, Nevada, Oregon, and Washington."
GASALLRMW,Dollars per Gallon,PADD IV (Rocky Mountain District) All Grades All Formulations Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions.  All Formulations includes both conventional gasoline and reformulated gasoline. PADD IV (Petroleum Administration for Defense District) represents the Rocky Mountain District and includes the following states: Colorado, Idaho, Montana, Utah, and Wyoming."
GASALLW,Dollars per Gallon,US All Grades All Formulations Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions.  All Formulations includes both conventional gasoline and reformulated gasoline."
GASALLWCW,Dollars per Gallon,PADD V (West Coast District) All Grades All Formulations Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions.  All Formulations includes both conventional gasoline and reformulated gasoline. PADD V (Petroleum Administration for Defense District) represents the West Coast District and includes the following states: Alaska (North Slope and Other Mainland), Arizona, California, Hawaii, Nevada, Oregon, and Washington."
GASDESECW,Dollars per Gallon,PADD I (East Coast District) Diesel Sales Price,,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. PADD I (Petroleum Administration for Defense District) represents the East Coast District and includes the following states: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, Delaware, District of Columbia, Maryland, New Jersey, New York, Pennsylvania, Florida, Georgia, North Carolina, South Carolina, Virginia, and West Virginia."
GASDESGCW,Dollars per Gallon,PADD III (Gulf Coast District) Diesel Sales Price,,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. PADD III (Petroleum Administration for Defense District) represents the Gulf Coast District and includes the following states: Alabama, Arkansas, Louisiana, Mississippi, New Mexico, and Texas."
GASDESLSECW,Dollars per Gallon,PADD I (East Coast District) No 2 Diesel Ultra Low Sulfur (0-15 ppm) Sales Price,,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. PADD I (Petroleum Administration for Defense District) represents the East Coast District and includes the following states: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, Delaware, District of Columbia, Maryland, New Jersey, New York, Pennsylvania, Florida, Georgia, North Carolina, South Carolina, Virginia, and West Virginia."
GASDESLSGCW,Dollars per Gallon,PADD III (Gulf Coast District) No 2 Diesel Ultra Low Sulfur (0-15 ppm) Sales Price,,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. PADD III (Petroleum Administration for Defense District) represents the Gulf Coast District and includes the following states: Alabama, Arkansas, Louisiana, Mississippi, New Mexico, and Texas."
GASDESLSMWW,Dollars per Gallon,PADD II (Midwest District) No 2 Diesel Ultra Low Sulfur (0-15 ppm) Sales Price,,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. PADD II (Petroleum Administration for Defense District) represents the Midwest District and includes the following states: Illinois, Indiana, Iowa, Kansas, Kentucky, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Oklahoma, South Dakota, Tennessee, and Wisconsin."
GASDESLSRMW,Dollars per Gallon,PADD IV (Rocky Mountain District) No 2 Diesel Ultra Low Sulfur (0-15 ppm) Sales Price,,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. PADD IV (Petroleum Administration for Defense District) represents the Rocky Mountain District and includes the following states: Colorado, Idaho, Montana, Utah, and Wyoming."
GASDESLSW,Dollars per Gallon,US Diesel Ultra Low Sulfur (0-15 ppm) Sales Price,,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions."
GASDESLSWCW,Dollars per Gallon,PADD V (West Coast District) No 2 Diesel Ultra Low Sulfur (0-15 ppm) Sales Price,,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. PADD V (Petroleum Administration for Defense District) represents the West Coast District and includes the following states: Alaska (North Slope and Other Mainland), Arizona, California, Hawaii, Nevada, Oregon, and Washington."
GASDESMWW,Dollars per Gallon,PADD II (Midwest District) Diesel Sales Price,,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. PADD II (Petroleum Administration for Defense District) represents the Midwest District and includes the following states: Illinois, Indiana, Iowa, Kansas, Kentucky, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Oklahoma, South Dakota, Tennessee, and Wisconsin."
GASDESRMW,Dollars per Gallon,PADD IV (Rocky Mountain District) Diesel Sales Price,,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. PADD IV (Petroleum Administration for Defense District) represents the Rocky Mountain District and includes the following states: Colorado, Idaho, Montana, Utah, and Wyoming."
GASDESW,Dollars per Gallon,US Diesel Sales Price,,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions."
GASDESWCW,Dollars per Gallon,PADD V (West Coast District) Diesel Sales Price,,"Weighted average based on sampling of approximately 350 retail outlets, as reported for the week. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. PADD V (Petroleum Administration for Defense District) represents the West Coast District and includes the following states: Alaska (North Slope and Other Mainland), Arizona, California, Hawaii, Nevada, Oregon, and Washington."
GASMIDCOVECW,Dollars per Gallon,PADD I (East Coast District) Midgrade Conventional Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD I (Petroleum Administration for Defense District) represents the East Coast District and includes the following states: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, Delaware, District of Columbia, Maryland, New Jersey, New York, Pennsylvania, Florida, Georgia, North Carolina, South Carolina, Virginia, and West Virginia."
GASMIDCOVGCW,Dollars per Gallon,PADD III (Gulf Coast District) Midgrade Conventional Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD III (Petroleum Administration for Defense District) represents the Gulf Coast District and includes the following states: Alabama, Arkansas, Louisiana, Mississippi, New Mexico, and Texas."
GASMIDCOVMWW,Dollars per Gallon,PADD II (Midwest District) Midgrade Conventional Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD II (Petroleum Administration for Defense District) represents the Midwest District and includes the following states: Illinois, Indiana, Iowa, Kansas, Kentucky, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Oklahoma, South Dakota, Tennessee, and Wisconsin."
GASMIDCOVRMW,Dollars per Gallon,PADD IV (Rocky Mountain District) Midgrade Conventional Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD IV (Petroleum Administration for Defense District) represents the Rocky Mountain District and includes the following states: Colorado, Idaho, Montana, Utah, and Wyoming."
GASMIDCOVW,Dollars per Gallon,US Midgrade Conventional Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline."
GASMIDCOVWCW,Dollars per Gallon,PADD V (West Coast District) Midgrade Conventional Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD V (Petroleum Administration for Defense District) represents the West Coast District and includes the following states: Alaska (North Slope and Other Mainland), Arizona, California, Hawaii, Nevada, Oregon, and Washington."
GASMIDECW,Dollars per Gallon,PADD I (East Coast District) Midgrade All Formulations Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. Midgrade Gasoline has an antiknock index (average of the research octane rating and the motor octane number) greater than or equal to 88 and less than or equal to 90. Octane requirements may vary by altitude. PADD I (Petroleum Administration for Defense District) represents the East Coast District and includes the following states: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, Delaware, District of Columbia, Maryland, New Jersey, New York, Pennsylvania, Florida, Georgia, North Carolina, South Carolina, Virginia, and West Virginia."
GASMIDGCW,Dollars per Gallon,PADD III (Gulf Coast District) Midgrade All Formulations Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. Midgrade Gasoline has an antiknock index (average of the research octane rating and the motor octane number) greater than or equal to 88 and less than or equal to 90. Octane requirements may vary by altitude. PADD III (Petroleum Administration for Defense District) represents the Gulf Coast District and includes the following states: Alabama, Arkansas, Louisiana, Mississippi, New Mexico, and Texas."
GASMIDMWW,Dollars per Gallon,PADD II (Midwest District) Midgrade All Formulations Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. Midgrade Gasoline has an antiknock index (average of the research octane rating and the motor octane number) greater than or equal to 88 and less than or equal to 90. Octane requirements may vary by altitude. PADD II (Petroleum Administration for Defense District) represents the Midwest District and includes the following states: Illinois, Indiana, Iowa, Kansas, Kentucky, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Oklahoma, South Dakota, Tennessee, and Wisconsin."
GASMIDREFECW,Dollars per Gallon,PADD I (East Coast District) Midgrade Reformulated Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD I (Petroleum Administration for Defense District) represents the East Coast District and includes the following states: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, Delaware, District of Columbia, Maryland, New Jersey, New York, Pennsylvania, Florida, Georgia, North Carolina, South Carolina, Virginia, and West Virginia."
GASMIDREFGCW,Dollars per Gallon,PADD III (Gulf Coast District) Midgrade Reformulated Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD III (Petroleum Administration for Defense District) represents the Gulf Coast District and includes the following states: Alabama, Arkansas, Louisiana, Mississippi, New Mexico, and Texas."
GASMIDREFMWW,Dollars per Gallon,PADD II (Midwest District) Midgrade Reformulated Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD II (Petroleum Administration for Defense District) represents the Midwest District and includes the following states: Illinois, Indiana, Iowa, Kansas, Kentucky, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Oklahoma, South Dakota, Tennessee, and Wisconsin."
GASMIDREFW,Dollars per Gallon,US Midgrade Reformulated Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline."
GASMIDREFWCW,Dollars per Gallon,PADD V (West Coast District) Midgrade Reformulated Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD V (Petroleum Administration for Defense District) represents the West Coast District and includes the following states: Alaska (North Slope and Other Mainland), Arizona, California, Hawaii, Nevada, Oregon, and Washington."
GASMIDRMW,Dollars per Gallon,PADD IV (Rocky Mountain District) Midgrade All Formulations Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. Midgrade Gasoline has an antiknock index (average of the research octane rating and the motor octane number) greater than or equal to 88 and less than or equal to 90. Octane requirements may vary by altitude. PADD IV (Petroleum Administration for Defense District) represents the Rocky Mountain District and includes the following states: Colorado, Idaho, Montana, Utah, and Wyoming."
GASMIDW,Dollars per Gallon,US Midgrade All Formulations Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. Midgrade Gasoline has an antiknock index (average of the research octane rating and the motor octane number) greater than or equal to 88 and less than or equal to 90. Octane requirements may vary by altitude."
GASMIDWCW,Dollars per Gallon,PADD V (West Coast District) Midgrade All Formulations Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. Midgrade Gasoline has an antiknock index (average of the research octane rating and the motor octane number) greater than or equal to 88 and less than or equal to 90. Octane requirements may vary by altitude. PADD V (Petroleum Administration for Defense District) represents the West Coast District and includes the following states: Alaska (North Slope and Other Mainland), Arizona, California, Hawaii, Nevada, Oregon, and Washington."
GASPRMCOVECW,Dollars per Gallon,PADD I (East Coast District) Premium Conventional Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD I (Petroleum Administration for Defense District) represents the East Coast District and includes the following states: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, Delaware, District of Columbia, Maryland, New Jersey, New York, Pennsylvania, Florida, Georgia, North Carolina, South Carolina, Virginia, and West Virginia."
GASPRMCOVGCW,Dollars per Gallon,PADD III (Gulf Coast District) Premium Conventional Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD III (Petroleum Administration for Defense District) represents the Gulf Coast District and includes the following states: Alabama, Arkansas, Louisiana, Mississippi, New Mexico, and Texas."
GASPRMCOVMWW,Dollars per Gallon,PADD II (Midwest District) Premium Conventional Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD II (Petroleum Administration for Defense District) represents the Midwest District and includes the following states: Illinois, Indiana, Iowa, Kansas, Kentucky, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Oklahoma, South Dakota, Tennessee, and Wisconsin."
GASPRMCOVRMW,Dollars per Gallon,PADD IV (Rocky Mountain District) Premium Conventional Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD IV (Petroleum Administration for Defense District) represents the Rocky Mountain District and includes the following states: Colorado, Idaho, Montana, Utah, and Wyoming."
GASPRMCOVW,Dollars per Gallon,US Premium Conventional Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline."
GASPRMCOVWCW,Dollars per Gallon,PADD V (West Coast District) Premium Conventional Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD V (Petroleum Administration for Defense District) represents the West Coast District and includes the following states: Alaska (North Slope and Other Mainland), Arizona, California, Hawaii, Nevada, Oregon, and Washington."
GASPRMECW,Dollars per Gallon,PADD I (East Coast District) Premium All Formulations Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. Premium Gasoline has an antiknock index (average of the research octane rating and the motor octane number) greater than 90. Octane requirements may vary by altitude. PADD I (Petroleum Administration for Defense District) represents the East Coast District and includes the following states: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, Delaware, District of Columbia, Maryland, New Jersey, New York, Pennsylvania, Florida, Georgia, North Carolina, South Carolina, Virginia, and West Virginia."
GASPRMGCW,Dollars per Gallon,PADD III (Gulf Coast District) Premium All Formulations Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. Premium Gasoline has an antiknock index (average of the research octane rating and the motor octane number) greater than 90. Octane requirements may vary by altitude. PADD III (Petroleum Administration for Defense District) represents the Gulf Coast District and includes the following states: Alabama, Arkansas, Louisiana, Mississippi, New Mexico, and Texas."
GASPRMMWW,Dollars per Gallon,PADD II (Midwest District) Premium All Formulations Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. Premium Gasoline has an antiknock index (average of the research octane rating and the motor octane number) greater than 90. Octane requirements may vary by altitude. PADD II (Petroleum Administration for Defense District) represents the Midwest District and includes the following states: Illinois, Indiana, Iowa, Kansas, Kentucky, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Oklahoma, South Dakota, Tennessee, and Wisconsin."
GASPRMREFECW,Dollars per Gallon,PADD I (East Coast District) Premium Reformulated Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD I (Petroleum Administration for Defense District) represents the East Coast District and includes the following states: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, Delaware, District of Columbia, Maryland, New Jersey, New York, Pennsylvania, Florida, Georgia, North Carolina, South Carolina, Virginia, and West Virginia."
GASPRMREFGCW,Dollars per Gallon,PADD III (Gulf Coast District) Premium Reformulated Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD III (Petroleum Administration for Defense District) represents the Gulf Coast District and includes the following states: Alabama, Arkansas, Louisiana, Mississippi, New Mexico, and Texas."
GASPRMREFMWW,Dollars per Gallon,PADD II (Midwest District) Premium Reformulated Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD II (Petroleum Administration for Defense District) represents the Midwest District and includes the following states: Illinois, Indiana, Iowa, Kansas, Kentucky, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Oklahoma, South Dakota, Tennessee, and Wisconsin."
GASPRMREFW,Dollars per Gallon,US Premium Reformulated Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline."
GASPRMREFWCW,Dollars per Gallon,PADD V (West Coast District) Premium Reformulated Gas Price,,"Weighted average based on sampling of approximately 900 retail outlets, 8:00AM Monday. The price represents self-service unless only full-service is available and includes all taxes. See (http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/mogas_home_page.html) for further definitions. All Formulations includes both conventional gasoline and reformulated gasoline. PADD V (Petroleum Administration for Defense District) represents the West Coast District and includes the following states: Alaska (North Slope and Other Mainland), Arizona, California, Hawaii, Nevada, Oregon, and Washington."
