id,units,title,notes,Mean
BAMLEM2RBBBLCRPIUSTRIV,Index,BofA Merrill Lynch BBB US Emerging Markets Liquid Corporate Plus Sub-Index Total Return Index Valueë©,"The BofA Merrill Lynch BBB US Emerging Markets Liquid Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index, which includes only securities rated BBB1 through BBB3.  The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCLLCRPIUSTRIV?cid=32413).  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.035918164
BAMLEM3BRRBBCRPIEY,Percent,BofA Merrill Lynch BB Emerging Markets Corporate Plus Sub-Index Effective Yieldë©,"This data represents the effective yield of the BofA Merrill Lynch BB Emerging Markets Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Corporate Plus Index, which includes only securities rated BB1 through BB3.  The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCBPITRIV?cid=32413).  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.001154917
BAMLEM3BRRBBCRPIOAS,Percent,BofA Merrill Lynch BB Emerging Markets Corporate Plus Sub-Index Option-Adjusted Spreadë©,"This data represents the Option-Adjusted Spread (OAS) for the BofA Merrill Lynch BB Emerging Markets Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Corporate Plus Index, which includes only securities rated BB1 through BB3.  The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCBPITRIV?cid=32413).  The BofA Merrill Lynch OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond_Ñés OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.    Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.000359462
BAMLEM3BRRBBCRPISYTW,Percent,BofA Merrill Lynch BB Emerging Markets Corporate Plus Sub-Index Semi-Annual Yield to Worstë©,"This data represents the semi-annual yield to worst of the BofA Merrill Lynch BB Emerging Markets Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Corporate Plus Index, which includes only securities rated BB1 through BB3. The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCBPITRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES ""AS IS"" MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.001152597
BAMLEM3BRRBBCRPITRIV,Index,BofA Merrill Lynch BB Emerging Markets Corporate Plus Sub-Index Total Return Index Valueë©,"The BofA Merrill Lynch BB Emerging Markets Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Corporate Plus Index, which includes only securities rated BB1 through BB3.  The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCBPITRIV?cid=32413).  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.063144712
BAMLEM3RBBLCRPIUSEY,Percent,BofA Merrill Lynch BB US Emerging Markets Liquid Corporate Plus Sub-Index Effective Yieldë©,"This data represents the effective yield of the BofA Merrill Lynch BB US Emerging Markets Liquid Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index, which includes only securities rated BB1 through BB3.  The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCLLCRPIUSTRIV?cid=32413).  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.000232868
BAMLEM3RBBLCRPIUSOAS,Percent,BofA Merrill Lynch BB US Emerging Markets Liquid Corporate Plus Sub-Index Option-Adjusted Spreadë©,"This data represents the Option-Adjusted Spread (OAS) for the BofA Merrill Lynch BB US Emerging Markets Liquid Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index, which includes only securities rated BB1 through BB3.  The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCLLCRPIUSTRIV?cid=32413).  The BofA Merrill Lynch OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond_Ñés OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.    Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.000482369
BAMLEM3RBBLCRPIUSSYTW,Percent,BofA Merrill Lynch BB US Emerging Markets Liquid Corporate Plus Sub-Index Semi-Annual Yield to Worstë©,"This data represents the semi-annual yield to worst of the BofA Merrill Lynch BB US Emerging Markets Liquid Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index, which includes only securities rated BB1 through BB3. The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCLLCRPIUSTRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES ""AS IS"" MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.000229541
BAMLEM3RBBLCRPIUSTRIV,Index,BofA Merrill Lynch BB US Emerging Markets Liquid Corporate Plus Sub-Index Total Return Index Valueë©,"The BofA Merrill Lynch BB US Emerging Markets Liquid Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index, which includes only securities rated BB1 through BB3.  The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCLLCRPIUSTRIV?cid=32413).  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.043506321
BAMLEM4BRRBLCRPIEY,Percent,BofA Merrill Lynch B and Lower Emerging Markets Corporate Plus Sub-Index Effective Yieldë©,"This data represents the effective yield of the BofA Merrill Lynch B and Lower Emerging Markets Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Corporate Plus Index, which includes only securities rated B1 or lower.  The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCBPITRIV?cid=32413).  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.002207792
BAMLEM4BRRBLCRPIOAS,Percent,BofA Merrill Lynch B and Lower Emerging Markets Corporate Plus Sub-Index Option-Adjusted Spreadë©,"This data represents the Option-Adjusted Spread (OAS) for the BofA Merrill Lynch B and Lower Emerging Markets Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Corporate Plus Index, which includes only securities rated B1 or lower.  The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCBPITRIV?cid=32413).  The BofA Merrill Lynch OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond_Ñés OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.    Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.001219852
BAMLEM4BRRBLCRPISYTW,Percent,BofA Merrill Lynch B and Lower Emerging Markets Corporate Plus Sub-Index Semi-Annual Yield to Worstë©,"This data represents the semi-annual yield to worst of the BofA Merrill Lynch B and Lower Emerging Markets Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Corporate Plus Index, which includes only securities rated B1 or lower. The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCBPITRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES ""AS IS"" MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.002414193
BAMLEM4BRRBLCRPITRIV,Index,BofA Merrill Lynch B and Lower Emerging Markets Corporate Plus Sub-Index Total Return Index Valueë©,"The BofA Merrill Lynch B and Lower Emerging Markets Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Corporate Plus Index, which includes only securities rated B1 or lower.  The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCBPITRIV?cid=32413).  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.073543599
BAMLEM4RBLLCRPIUSEY,Percent,BofA Merrill Lynch B & Lower US Emerging Markets Liquid Corporate Plus Sub-Index Effective Yieldë©,"This data represents the effective yield of the BofA Merrill Lynch B and Lower US Emerging Markets Liquid Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index, which includes only securities rated B1 or lower.  The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCLLCRPIUSTRIV?cid=32413).  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.002312043
BAMLEM4RBLLCRPIUSOAS,Percent,BofA Merrill Lynch B & Lower US Emerging Markets Liquid Corporate Plus Sub-Index Option-Adjusted Spreadë©,"This data represents the Option-Adjusted Spread (OAS) for the BofA Merrill Lynch B and Lower US Emerging Markets Liquid Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index, which includes only securities rated B1 or lower.  The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCLLCRPIUSTRIV?cid=32413).  The BofA Merrill Lynch OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond_Ñés OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.    Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.003210246
BAMLEM4RBLLCRPIUSSYTW,Percent,BofA Merrill Lynch B & Lower US Emerging Markets Liquid Corporate Plus Sub-Index Semi-Annual Yield to Worstë©,"This data represents the semi-annual yield to worst of the BofA Merrill Lynch B and Lower US Emerging Markets Liquid Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index, which includes only securities rated B1 or lower. The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCLLCRPIUSTRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES ""AS IS"" MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.002338656
BAMLEM4RBLLCRPIUSTRIV,Index,BofA Merrill Lynch B & Lower US Emerging Markets Liquid Corporate Plus Sub-Index Total Return Index Valueë©,"The BofA Merrill Lynch B and Lower US Emerging Markets Liquid Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index, which includes only securities rated B1 or lower.  The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Liquid Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCLLCRPIUSTRIV?cid=32413).  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.052904192
BAMLEM5BCOCRPIEY,Percent,BofA Merrill Lynch Crossover Emerging Markets Corporate Plus Sub-Index Effective Yieldë©,"This data represents the effective yield of the BofA Merrill Lynch Crossover Emerging Markets Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Corporate Plus Index, which includes only securities rated BBB1 through BB3.  The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCBPITRIV?cid=32413).  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.001314935
BAMLEM5BCOCRPIOAS,Percent,BofA Merrill Lynch Crossover Emerging Markets Corporate Plus Sub-Index Option-Adjusted Spreadë©,"This data represents the Option-Adjusted Spread (OAS) for the BofA Merrill Lynch Crossover Emerging Markets Corporate Plus Index is the subset of the BofA Merrill Lynch Emerging Markets Corporate Plus Index, which includes only securities rated BBB1 through BB3.  The same inclusion rules apply for this series as those that apply for BofA Merrill Lynch Emerging Markets Corporate Plus Index (http://research.stlouisfed.org/fred2/series/BAMLEMCBPITRIV?cid=32413).   The BofA Merrill Lynch OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond_Ñés OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.    Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.  Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.000575139
